,PM10_1
1205,142.0
1206,131.0
1207,127.0
1208,119.0
1209,134.0
1210,136.0
1211,154.0
1212,143.0
1213,141.0
1214,103.0
1215,114.0
1216,118.0
1217,139.0
1218,146.0
1219,167.0
1220,163.0
1221,163.0
1222,146.0
1223,140.0
1224,129.0
1225,130.0
1226,123.0
1227,135.0
1228,134.0
1229,137.0
1230,125.0
1231,129.0
1232,125.0
1233,134.0
1234,131.0
1235,131.0
1236,111.0
1237,108.0
1238,108.0
1239,110.0
1240,109.0
1241,111.0
1242,111.0
1243,109.0
1244,109.0
1245,104.0
1246,35.0
1247,11.0
1248,23.0
1249,29.0
1250,33.0
1251,50.0
1252,71.0
1253,69.0
1254,57.0
1255,54.0
1256,53.0
1257,56.0
1258,42.0
1259,28.0
1260,26.0
1261,33.0
1262,38.0
1263,46.0
1264,49.0
1265,45.0
1266,43.0
1267,41.0
1268,36.0
1269,36.0
1270,36.0
1271,34.0
1272,29.0
1273,25.0
1274,25.0
1275,24.0
1276,25.0
1277,25.0
1278,27.0
1279,31.0
1280,34.0
1281,41.0
1282,39.0
1283,38.0
1284,36.0
1285,39.0
1286,32.0
1287,30.0
1288,22.0
1289,24.0
1290,25.0
1291,25.0
1292,20.0
1293,18.0
1294,16.0
1295,17.0
1296,16.0
1297,18.0
1298,15.0
1299,15.0
1300,15.0
1301,14.0
1302,14.0
1303,18.0
1304,18.0
1305,27.0
1306,32.0
1307,37.0
1308,33.0
1309,38.0
1310,35.0
1311,37.0
1312,39.0
1313,49.0
1314,41.0
1315,41.0
1316,41.0
1317,43.0
1318,40.0
1319,35.0
1320,35.0
1321,34.0
1322,34.0
1323,35.0
1324,34.0
1325,35.0
1326,40.0
1327,45.0
1328,49.0
1329,69.0
1330,74.0
1331,76.0
1332,70.0
1333,69.0
1334,63.0
1335,64.0
1336,53.0
1337,51.0
1338,49.0
1339,41.0
1340,34.0
1341,28.0
1342,24.0
1343,22.0
1344,15.0
1345,16.0
1346,15.0
1347,16.0
1348,14.0
1349,19.0
1350,19.0
1351,22.0
1352,28.0
1353,31.0
1354,32.0
1355,32.0
1356,26.0
1357,32.0
1358,29.0
1359,25.0
1360,27.0
1361,33.0
1362,36.0
1363,36.0
1364,30.0
1365,20.0
1366,22.0
1367,25.0
1368,25.0
1369,28.0
1370,27.0
1371,30.0
1372,28.0
1373,28.0
1374,31.0
1375,31.0
1376,37.0
1377,40.0
1378,38.0
1379,34.0
1380,31.0
1381,35.0
1382,34.0
1383,40.0
1384,46.0
1385,48.0
1386,50.0
1387,47.0
1388,49.0
1389,50.0
1390,46.0
1391,47.0
1392,44.0
1393,47.0
1394,45.0
1395,47.0
1396,44.0
1397,43.0
1398,44.0
1399,43.0
1400,40.0
1401,40.0
1402,41.0
1403,40.0
1404,40.0
1405,40.0
1406,36.0
1407,45.0
1408,43.0
1409,55.0
1410,67.0
1411,67.0
1412,53.0
1413,56.0
1414,52.0
1415,56.0
1416,53.0
1417,55.0
1418,52.0
1419,51.0
1420,50.0
1421,47.0
1422,51.0
1423,55.0
1424,53.0
1425,62.0
1426,65.0
1427,57.0
1428,44.0
1429,31.0
1430,25.0
1431,33.0
1432,59.0
1433,69.0
1434,72.0
1435,77.0
1436,77.0
1437,70.0
1438,65.0
1439,62.0
1440,53.0
1441,45.0
1442,42.0
1443,39.0
1444,33.0
1445,30.0
1446,23.0
1447,20.0
1448,19.0
1449,10.0
1450,4.0
1451,16.0
1452,20.0
1453,11.0
1454,9.0
1455,18.0
1456,21.0
1457,15.0
1458,15.0
1459,16.0
1460,14.0
1461,13.0
1462,16.0
1463,18.0
1464,18.0
1465,19.0
1466,22.0
1467,22.0
1468,21.0
1469,18.0
1470,12.0
1471,9.0
1472,14.0
1473,16.0
1474,14.0
1475,15.0
1476,17.0
1477,14.0
1478,16.0
1479,14.0
1480,11.0
1481,16.0
1482,21.0
1483,20.0
1484,16.0
1485,14.0
1486,16.0
1487,19.0
1488,18.0
1489,17.0
1490,17.0
1491,16.0
1492,16.0
1493,17.0
1494,21.0
1495,21.0
1496,30.0
1497,29.0
1498,29.0
1499,29.0
1500,30.0
1501,27.0
1502,24.0
1503,20.0
1504,20.0
1505,24.0
1506,25.0
1507,22.0
1508,18.0
1509,20.0
1510,22.0
1511,24.0
1512,23.0
1513,26.0
1514,28.0
1515,33.0
1516,30.0
1517,29.0
1518,27.0
1519,32.0
1520,32.0
1521,24.0
1522,16.0
1523,15.0
1524,13.0
1525,14.0
1526,38.92593020568523
1527,38.92593020568523
1528,38.92593020568523
1529,19.0
1530,16.0
1531,16.0
1532,16.0
1533,13.0
1534,14.0
1535,19.0
1536,14.0
1537,17.0
1538,13.0
1539,16.0
1540,13.0
1541,16.0
1542,16.0
1543,24.0
1544,32.0
1545,33.0
1546,33.0
1547,28.0
1548,24.0
1549,21.0
1550,17.0
1551,17.0
1552,18.0
1553,19.0
1554,19.0
1555,25.0
1556,26.0
1557,26.0
1558,24.0
1559,26.0
1560,25.0
1561,26.0
1562,28.0
1563,30.0
1564,30.0
1565,31.0
1566,30.0
1567,29.0
1568,27.0
1569,28.0
1570,27.0
1571,32.0
1572,31.0
1573,30.0
1574,28.0
1575,28.0
1576,32.0
1577,36.0
1578,36.0
1579,43.0
1580,43.0
1581,45.0
1582,40.0
1583,41.0
1584,38.0
1585,39.0
1586,36.0
1587,36.0
1588,37.0
1589,39.0
1590,37.0
1591,36.0
1592,38.0
1593,40.0
1594,41.0
1595,46.0
1596,39.0
1597,42.0
1598,33.0
1599,34.0
1600,43.0
1601,59.0
1602,62.0
1603,54.0
1604,48.0
1605,40.0
1606,31.0
1607,34.0
1608,34.0
1609,37.0
1610,34.0
1611,43.0
1612,48.0
1613,49.0
1614,49.0
1615,55.0
1616,60.0
1617,62.0
1618,64.0
1619,54.0
1620,56.0
1621,53.0
1622,46.0
1623,49.0
1624,54.0
1625,58.0
1626,45.0
1627,31.0
1628,33.0
1629,38.0
1630,33.0
1631,30.0
1632,29.0
1633,30.0
1634,28.0
1635,32.0
1636,29.0
1637,32.0
1638,30.0
1639,30.0
1640,33.0
1641,33.0
1642,36.0
1643,38.0
1644,37.0
1645,39.0
1646,36.0
1647,40.0
1648,45.0
1649,52.0
1650,54.0
1651,56.0
1652,52.0
1653,53.0
1654,50.0
1655,46.0
1656,36.0
1657,43.0
1658,47.0
1659,45.0
1660,42.0
1661,47.0
1662,42.0
1663,31.0
1664,31.0
1665,31.0
1666,33.0
1667,37.0
1668,37.0
1669,37.0
1670,40.0
1671,39.0
1672,33.0
1673,29.0
1674,28.0
1675,27.0
1676,23.0
1677,23.0
1678,22.0
1679,20.0
1680,21.0
1681,21.0
1682,21.0
1683,20.0
1684,18.0
1685,17.0
1686,19.0
1687,23.0
1688,26.0
1689,30.0
1690,31.0
1691,32.0
1692,31.0
1693,35.0
1694,38.0
1695,46.0
1696,42.0
1697,40.0
1698,38.0
1699,40.0
1700,38.0
1701,41.0
1702,34.0
1703,35.0
1704,34.0
1705,37.0
1706,37.0
1707,40.0
1708,37.0
1709,41.0
1710,43.0
1711,48.0
1712,59.0
1713,75.0
1714,84.0
1715,89.0
1716,94.0
1717,98.0
1718,91.0
1719,90.0
1720,89.0
1721,91.0
1722,87.0
1723,85.0
1724,80.0
1725,70.0
1726,67.0
1727,70.0
1728,74.0
1729,73.0
1730,59.0
1731,54.0
1732,58.0
1733,61.0
1734,61.0
1735,60.0
1736,60.0
1737,60.0
1738,58.0
1739,52.0
1740,36.0
1741,19.0
1742,14.0
1743,17.0
1744,14.0
1745,12.0
1746,11.0
1747,10.0
1748,11.0
1749,14.0
1750,10.0
1751,12.0
1752,14.0
1753,15.0
1754,16.0
1755,17.0
1756,17.0
1757,19.0
1758,17.0
1759,18.0
1760,21.0
1761,19.0
1762,21.0
1763,21.0
1764,18.0
1765,21.0
1766,22.0
1767,23.0
1768,23.0
1769,24.0
1770,24.0
1771,23.0
1772,22.0
1773,26.0
1774,24.0
1775,26.0
1776,24.0
1777,23.0
1778,26.0
1779,27.0
1780,26.0
1781,28.0
1782,26.0
1783,30.0
1784,33.0
1785,39.0
1786,44.0
1787,40.0
1788,38.0
1789,41.0
1790,35.0
1791,35.0
1792,36.0
1793,38.0
1794,35.0
1795,37.0
1796,39.0
1797,41.0
1798,39.0
1799,38.0
1800,39.0
1801,39.0
1802,38.0
1803,43.0
1804,36.0
1805,28.0
1806,32.0
1807,39.0
1808,42.0
1809,48.0
1810,66.0
1811,95.0
1812,102.0
1813,112.0
1814,123.0
1815,132.0
1816,135.0
1817,139.0
1818,143.0
1819,138.0
1820,132.0
1821,119.0
1822,107.0
1823,100.0
1824,94.0
1825,90.0
1826,88.0
1827,88.0
1828,89.0
1829,102.0
1830,103.0
1831,105.0
1832,108.0
1833,118.0
1834,118.0
1835,108.0
1836,78.0
1837,70.0
1838,72.0
1839,62.0
1840,56.0
1841,75.0
1842,79.0
1843,87.0
1844,89.0
1845,102.0
1846,106.0
1847,96.0
1848,76.0
1849,63.0
1850,60.0
1851,56.0
1852,53.0
1853,48.0
1854,44.0
1855,38.0
1856,28.0
1857,29.0
1858,30.0
1859,34.0
1860,20.0
1861,18.0
1862,17.0
1863,26.0
1864,26.0
1865,18.0
1866,16.0
1867,16.0
1868,14.0
1869,13.0
1870,15.0
1871,16.0
1872,18.0
1873,16.0
1874,17.0
1875,16.0
1876,18.0
1877,18.0
1878,18.0
1879,20.0
1880,24.0
1881,27.0
1882,28.0
1883,31.0
1884,29.0
1885,26.0
1886,29.0
1887,20.0
1888,19.0
1889,22.0
1890,25.0
1891,27.0
1892,26.0
1893,27.0
1894,26.0
1895,25.0
1896,23.0
1897,30.0
1898,29.0
1899,31.0
1900,37.0
1901,38.0
1902,40.0
1903,40.0
1904,40.0
1905,34.0
1906,25.0
1907,31.0
1908,29.0
1909,35.0
1910,32.0
1911,32.0
1912,26.0
1913,29.0
1914,31.0
1915,38.0
1916,34.0
1917,36.0
1918,34.0
1919,36.0
1920,31.0
1921,32.0
1922,30.0
1923,31.0
1924,32.0
1925,33.0
1926,34.0
1927,39.0
1928,45.0
1929,52.0
1930,60.0
1931,71.0
1932,77.0
1933,76.0
1934,74.0
1935,73.0
1936,73.0
1937,68.0
1938,73.0
1939,76.0
1940,76.0
1941,74.0
1942,69.0
1943,70.0
1944,66.0
1945,67.0
1946,65.0
1947,66.0
1948,64.0
1949,71.0
1950,67.0
1951,75.0
1952,85.0
1953,87.0
1954,88.0
1955,88.0
1956,94.0
1957,89.0
1958,77.0
1959,62.0
1960,56.0
1961,37.0
1962,26.0
1963,28.0
1964,25.0
1965,26.0
1966,22.0
1967,23.0
1968,21.0
1969,22.0
1970,20.0
1971,21.0
1972,20.0
1973,26.0
1974,25.0
1975,26.0
1976,28.0
1977,37.0
1978,38.0
1979,38.0
1980,38.0
1981,46.0
1982,47.0
1983,48.0
1984,44.0
1985,43.0
1986,33.0
1987,30.0
1988,30.0
1989,30.0
1990,30.0
1991,29.0
1992,26.0
1993,27.0
1994,32.0
1995,36.0
1996,36.0
1997,40.0
1998,38.0
1999,41.0
2000,41.0
2001,46.0
2002,40.0
2003,45.0
2004,52.0
2005,54.0
2006,49.0
2007,52.0
2008,55.0
2009,56.0
2010,53.0
2011,51.0
2012,45.0
2013,49.0
2014,45.0
2015,45.0
2016,44.0
2017,47.0
2018,43.0
2019,45.0
2020,46.0
2021,48.0
2022,49.0
2023,51.0
2024,60.0
2025,59.0
2026,54.0
2027,53.0
2028,57.0
2029,50.0
2030,53.0
2031,45.0
2032,39.0
2033,39.0
2034,46.0
2035,48.0
2036,39.0
2037,42.0
2038,42.0
2039,36.0
2040,33.0
2041,30.0
2042,25.0
2043,26.0
2044,22.0
2045,23.0
2046,20.0
2047,19.0
2048,21.0
2049,20.0
2050,24.0
2051,21.0
2052,20.0
2053,19.0
2054,24.0
2055,21.0
2056,24.0
2057,28.0
2058,24.0
2059,21.0
2060,20.0
2061,22.0
2062,20.0
2063,16.0
2064,15.0
2065,15.0
2066,13.0
2067,12.0
2068,13.0
2069,13.0
2070,14.0
2071,13.0
2072,13.0
2073,19.0
2074,18.0
2075,19.0
2076,16.0
2077,15.0
2078,15.0
2079,20.0
2080,19.0
2081,16.0
2082,15.0
2083,16.0
2084,19.0
2085,17.0
2086,17.0
2087,20.0
2088,14.0
2089,16.0
2090,17.0
2091,20.0
2092,20.0
2093,23.0
2094,23.0
2095,32.0
2096,33.0
2097,42.0
2098,56.0
2099,50.0
2100,35.0
2101,36.0
2102,42.0
2103,41.0
2104,40.0
2105,41.0
2106,38.0
2107,43.0
2108,39.0
2109,46.0
2110,45.0
2111,43.0
2112,38.0
2113,44.0
2114,41.0
2115,46.0
2116,43.0
2117,46.0
2118,44.0
2119,46.0
2120,48.0
2121,55.0
2122,55.0
2123,61.0
2124,58.0
2125,58.0
2126,48.0
2127,61.0
2128,65.0
2129,59.0
2130,51.0
